,,,,0,0
112, BBB_112, receiver,7501,0.112,66973.21429
424, BBB_112, receiver,7658,0.424,24544.87179
536, BBB_112, receiver,7814,0.536,69767.85714
648, BBB_112, receiver,7969,0.648,71151.78571
764, BBB_112, receiver,8121,0.764,70008.62069
884, BBB_112, receiver,8270,0.884,68916.66667
1000, BBB_112, receiver,8416,1,72551.72414
1128, BBB_112, receiver,8557,1.128,66851.5625
1252, BBB_112, receiver,8693,1.252,70104.83871
1380, BBB_112, receiver,8823,1.38,68929.6875
1508, BBB_112, receiver,8946,1.508,69890.625
1640, BBB_112, receiver,9063,1.64,68659.09091
1772, BBB_112, receiver,9172,1.772,69484.84848
1900, BBB_112, receiver,9273,1.9,72445.3125
2036, BBB_112, receiver,9365,2.036,68860.29412
2172, BBB_112, receiver,9448,2.172,69470.58824
2308, BBB_112, receiver,9522,2.308,70014.70588
2448, BBB_112, receiver,9586,2.448,68471.42857
2584, BBB_112, receiver,9639,2.584,70875
2724, BBB_112, receiver,9683,2.724,69164.28571
2864, BBB_112, receiver,9715,2.864,69392.85714
3000, BBB_112, receiver,9737,3,71595.58824
3144, BBB_112, receiver,9748,3.144,67694.44444
3284, BBB_112, receiver,9748,3.284,69628.57143
3424, BBB_112, receiver,9737,3.424,69550
3560, BBB_112, receiver,9715,3.56,71433.82353
3700, BBB_112, receiver,9683,3.7,69164.28571
3840, BBB_112, receiver,9640,3.84,68857.14286
3976, BBB_112, receiver,9586,3.976,70485.29412
4112, BBB_112, receiver,9522,4.112,70014.70588
4248, BBB_112, receiver,9365,4.248,68860.29412
4380, BBB_112, receiver,9273,4.38,70250
4512, BBB_112, receiver,9172,4.512,69484.84848
4640, BBB_112, receiver,9063,4.64,70804.6875
4768, BBB_112, receiver,8947,4.768,69898.4375
4896, BBB_112, receiver,8823,4.896,68929.6875
5020, BBB_112, receiver,8693,5.02,70104.83871
5144, BBB_112, receiver,8557,5.144,69008.06452
5264, BBB_112, receiver,8416,5.264,70133.33333
5384, BBB_112, receiver,8271,5.384,68925
5500, BBB_112, receiver,8121,5.5,70008.62069
5616, BBB_112, receiver,7969,5.616,68698.27586
5728, BBB_112, receiver,7814,5.728,69767.85714
5836, BBB_112, receiver,7658,5.836,70907.40741
5944, BBB_112, receiver,7502,5.944,69462.96296
6052, BBB_112, receiver,7345,6.052,68009.25926
6152, BBB_112, receiver,7189,6.152,71890
6256, BBB_112, receiver,7034,6.256,67634.61538
6352, BBB_112, receiver,6882,6.352,71687.5
6452, BBB_112, receiver,6732,6.452,67320
6544, BBB_112, receiver,6587,6.544,71597.82609
6640, BBB_112, receiver,6445,6.64,67135.41667
6728, BBB_112, receiver,6309,6.728,71693.18182
6820, BBB_112, receiver,6179,6.82,67163.04348
6900, BBB_112, receiver,6055,6.9,75687.5
6992, BBB_112, receiver,5939,6.992,64554.34783
7076, BBB_112, receiver,5829,7.076,69392.85714
7156, BBB_112, receiver,5728,7.156,71600
7236, BBB_112, receiver,5636,7.236,70450
7316, BBB_112, receiver,5553,7.316,69412.5
7396, BBB_112, receiver,5479,7.396,68487.5
7476, BBB_112, receiver,5415,7.476,67687.5
7552, BBB_112, receiver,5361,7.552,70539.47368
7628, BBB_112, receiver,5317,7.628,69960.52632
7700, BBB_112, receiver,5284,7.7,73388.88889
7780, BBB_112, receiver,5262,7.78,65775
7856, BBB_112, receiver,5251,7.856,69092.10526
7932, BBB_112, receiver,5251,7.932,69092.10526
8008, BBB_112, receiver,5261,8.008,69223.68421
8084, BBB_112, receiver,5283,8.084,69513.15789
8160, BBB_112, receiver,5315,8.16,69934.21053
8236, BBB_112, receiver,5358,8.236,70500
8316, BBB_112, receiver,5412,8.316,67650
8392, BBB_112, receiver,5475,8.392,72039.47368
8472, BBB_112, receiver,5549,8.472,69362.5
8556, BBB_112, receiver,5632,8.556,67047.61905
8636, BBB_112, receiver,5724,8.636,71550
8720, BBB_112, receiver,5824,8.72,69333.33333
8800, BBB_112, receiver,5933,8.8,74162.5
8892, BBB_112, receiver,6050,8.892,65760.86957
8980, BBB_112, receiver,6173,8.98,70147.72727
9072, BBB_112, receiver,6303,9.072,68510.86957
9164, BBB_112, receiver,6439,9.164,69989.13043
9260, BBB_112, receiver,6580,9.26,68541.66667
9356, BBB_112, receiver,6725,9.356,70052.08333
9456, BBB_112, receiver,6874,9.456,68740
9556, BBB_112, receiver,7026,9.556,70260
9660, BBB_112, receiver,7181,9.66,69048.07692
9764, BBB_112, receiver,7337,9.764,70548.07692
9872, BBB_112, receiver,7501,9.872,69453.7037
9980, BBB_112, receiver,7658,9.98,70907.40741
10092, BBB_112, receiver,7814,10.092,69767.85714
10208, BBB_112, receiver,7969,10.208,68698.27586
10324, BBB_112, receiver,8121,10.324,70008.62069
10444, BBB_112, receiver,8270,10.444,68916.66667
10564, BBB_112, receiver,8416,10.564,70133.33333
10688, BBB_112, receiver,8557,10.688,69008.06452
10812, BBB_112, receiver,8693,10.812,70104.83871
10940, BBB_112, receiver,8823,10.94,68929.6875
11068, BBB_112, receiver,8946,11.068,69890.625
11196, BBB_112, receiver,9063,11.196,70804.6875
11328, BBB_112, receiver,9172,11.328,69484.84848
11464, BBB_112, receiver,9273,11.464,68183.82353
11596, BBB_112, receiver,9365,11.596,70946.9697
11732, BBB_112, receiver,9448,11.732,69470.58824
11868, BBB_112, receiver,9522,11.868,70014.70588
12000, BBB_112, receiver,9586,12,72621.21212
12144, BBB_112, receiver,9639,12.144,66937.5
12284, BBB_112, receiver,9683,12.284,69164.28571
12420, BBB_112, receiver,9715,12.42,71433.82353
12560, BBB_112, receiver,9737,12.56,69550
12700, BBB_112, receiver,9748,12.7,69628.57143
12840, BBB_112, receiver,9748,12.84,69628.57143
12980, BBB_112, receiver,9737,12.98,69550
13120, BBB_112, receiver,9715,13.12,69392.85714
