id, time (s), size (bits),,0,0
0,1456077928,1456077928,6936,0,0
1,1456077928,1456077928,6824,0.046950102,145345.7976
2,1456077928,1456077928,6704,0.216860056,39456.19335
3,1456077928,1456077928,6584,0.318919897,64511.17232
4,1456077928,1456077928,6464,0.428139925,59183.28463
5,1456077928,1456077928,6344,0.533849955,60013.22697
6,1456077929,1456077929,6216,0.791150093,24158.55676
7,1456077929,1456077929,6088,0.886319876,63969.88447
8,1456077929,1456077929,5968,1.008589983,48809.96781
9,1456077929,1456077929,5840,1.099920034,63943.90356
10,1456077929,1456077929,5720,1.189549923,63817.99747
11,1456077929,1456077929,5592,1.27895999,62543.29308
12,1456077929,1456077929,5472,1.363980055,64361.27731
13,1456077929,1456077929,5360,1.448050022,63756.4183
14,1456077929,1456077929,5248,1.530879974,63358.723
15,1456077930,1456077930,5136,1.61206007,63266.73992
16,1456077930,1456077930,5032,1.691890001,63034.00142
17,1456077930,1456077930,4936,1.769449949,63641.09478
18,1456077930,1456077930,4840,1.846199989,63061.85634
19,1456077930,1456077930,4752,1.92147994,63124.37682
20,1456077930,1456077930,4672,1.995589972,63041.39843
21,1456077930,1456077930,4600,2.068490028,63100.08798
22,1456077930,1456077930,4536,2.140379906,63096.50495
23,1456077930,1456077930,4472,2.2114501,62923.70589
24,1456077930,1456077930,4424,2.281389952,63254.35197
25,1456077930,1456077930,4376,2.378020048,45286.09782
26,1456077930,1456077930,4344,2.478029966,43435.69196
27,1456077931,1456077931,4320,2.578209877,43122.41817
28,1456077931,1456077931,4304,2.67843008,42945.4327
29,1456077931,1456077931,4296,2.777559996,43337.06924
30,1456077931,1456077931,4296,2.877579927,42951.43901
31,1456077931,1456077931,4304,2.97796011,42876.98929
32,1456077931,1456077931,4320,3.078190088,43100.87722
33,1456077931,1456077931,4344,3.178220034,43426.99562
34,1456077931,1456077931,4384,3.278510094,43713.20546
35,1456077931,1456077931,4424,3.377490044,44695.92076
36,1456077931,1456077931,4472,3.477639914,44653.07847
37,1456077932,1456077932,4536,3.577739954,45314.66701
38,1456077932,1456077932,4600,3.677850008,45949.43081
39,1456077932,1456077932,4672,3.778029919,46636.09669
40,1456077932,1456077932,4752,3.878220081,47429.80622
41,1456077932,1456077932,4840,3.978440046,48293.77062
42,1456077932,1456077932,4936,4.077529907,49813.37096
43,1456077932,1456077932,5032,4.177700043,50234.53323
44,1456077932,1456077932,5136,4.277889967,51262.63982
45,1456077932,1456077932,5248,4.378099918,52370.04835
46,1456077932,1456077932,5360,4.478430033,53423.64089
47,1456077933,1456077933,5480,4.578429937,54800.05226
48,1456077933,1456077933,5600,4.677690029,56417.43725
49,1456077933,1456077933,5720,4.777810097,57131.4037
50,1456077933,1456077933,5840,4.878099918,58231.23329
51,1456077933,1456077933,5968,4.978060007,59703.82856
52,1456077933,1456077933,6096,5.078089952,60941.75077
53,1456077933,1456077933,6216,5.178169966,62110.30351
54,1456077933,1456077933,6344,5.278300047,63357.58371
55,1456077933,1456077933,6472,5.378509998,64584.40414
56,1456077933,1456077933,6592,5.477659941,66485.16218
57,1456077934,1456077934,6712,5.578130007,66805.96781
58,1456077934,1456077934,6824,5.678989887,67658.22019
59,1456077934,1456077934,6936,5.782860041,66775.67878
60,1456077934,1456077934,7048,5.888200045,66907.15525
61,1456077934,1456077934,7152,5.99496007,66991.36684
62,1456077934,1456077934,7248,6.103199959,66962.37457
63,1456077934,1456077934,7344,6.212949991,66915.69777
64,1456077934,1456077934,7432,6.324100018,66864.58156
65,1456077934,1456077934,7512,6.436569929,66791.19682
66,1456077934,1456077934,7584,6.549920082,66907.71738
67,1456077935,1456077935,7648,6.664340019,66841.49801
68,1456077935,1456077935,7712,6.779839993,66770.57821
69,1456077935,1456077935,7760,6.896169901,66706.83497
70,1456077935,1456077935,7808,7.013180017,66729.27289
71,1456077935,1456077935,7840,7.130800009,66655.33565
72,1456077935,1456077935,7864,7.249000072,66531.26702
73,1456077935,1456077935,7880,7.367419958,66542.87798
74,1456077935,1456077935,7888,7.486180067,66419.60899
75,1456077936,1456077936,7888,7.605129957,66313.63838
76,1456077936,1456077936,7880,7.724119902,66224.08335
77,1456077936,1456077936,7864,7.842779875,66273.40114
78,1456077936,1456077936,7840,7.961509943,66032.13591
79,1456077936,1456077936,7800,8.079560041,66073.6425
80,1456077936,1456077936,7760,8.196969986,66093.20898
81,1456077936,1456077936,7712,8.31408,65852.60935
82,1456077936,1456077936,7648,8.430249929,65834.59276
83,1456077936,1456077936,7584,8.545919895,65565.85326
84,1456077937,1456077937,7512,8.660449982,65589.75225
85,1456077937,1456077937,7432,8.773499966,65740.83196
86,1456077937,1456077937,7344,8.886029959,65262.60067
87,1456077937,1456077937,7248,8.997210026,65191.5419
88,1456077937,1456077937,7152,9.106940031,65178.16146
89,1456077937,1456077937,7048,9.215379953,64994.51354
90,1456077937,1456077937,6936,9.322099924,64992.52159
91,1456077937,1456077937,6824,9.427489996,64749.93212
92,1456077937,1456077937,6704,9.53102994,64747.95872
93,1456077938,1456077938,6584,9.633369923,64334.58173
94,1456077938,1456077938,6464,9.733409882,64614.18085
95,1456077938,1456077938,6344,9.831700087,64543.56261
96,1456077938,1456077938,6216,9.92847991,64228.26358
97,1456077938,1456077938,6088,10.0239501,63768.59622
98,1456077938,1456077938,5968,10.11660004,64414.50706
99,1456077938,1456077938,5840,10.20805001,63860.04959
100,1456077938,1456077938,5720,10.29765987,63832.26034
101,1456077938,1456077938,5592,10.38551998,63646.63286
102,1456077938,1456077938,5472,10.47157001,63590.91069
103,1456077938,1456077938,5360,10.55633998,63229.94293
104,1456077939,1456077939,5248,10.63880992,63635.30746
105,1456077939,1456077939,5136,10.71983004,63391.66373
106,1456077939,1456077939,5032,10.79939008,63247.83031
107,1456077939,1456077939,4936,10.87853003,62370.52376
108,1456077939,1456077939,4840,10.95420003,63961.93671
109,1456077939,1456077939,4752,11.02940011,63191.4214
110,1456077939,1456077939,4672,11.10355997,62999.03966
111,1456077939,1456077939,4600,11.17772007,62027.96464
112,1456077939,1456077939,4536,11.24833989,64231.25831
113,1456077939,1456077939,4472,11.31948996,62853.07025
114,1456077939,1456077939,4424,11.38934994,63326.67004
115,1456077939,1456077939,4376,11.45874,63063.78887
116,1456077939,1456077939,4344,11.52741003,63259.0334
117,1456077940,1456077940,4320,11.59568,63278.18988
118,1456077940,1456077940,4304,11.67814994,52188.71252
119,1456077940,1456077940,4296,11.77852988,42797.39393
120,1456077940,1456077940,4296,11.87753987,43389.56069
121,1456077940,1456077940,4304,11.97750998,43052.87181
122,1456077940,1456077940,4320,12.07772994,43105.18369
123,1456077940,1456077940,4344,12.17783999,43392.24509
124,1456077940,1456077940,4384,12.27814007,43708.8413
125,1456077940,1456077940,4424,12.37817001,44226.75613
126,1456077940,1456077940,4472,12.47845006,44595.11296
127,1456077941,1456077941,4536,12.57914996,45044.73121
128,1456077941,1456077941,4600,12.67816997,46455.25956
129,1456077941,1456077941,4672,12.77835989,46631.4356
130,1456077941,1456077941,4752,12.87852001,47444.03171
131,1456077941,1456077941,4840,12.97780991,48746.14928
132,1456077941,1456077941,4936,13.07780004,49364.87257
133,1456077941,1456077941,5032,13.17810011,50169.4547
134,1456077941,1456077941,5136,13.27825999,51278.01492
135,1456077941,1456077941,5248,13.37842989,52390.98924
136,1456077941,1456077941,5360,13.47859001,53514.31186
137,1456077942,1456077942,5480,13.57778001,55247.50662
138,1456077942,1456077942,5600,13.67794991,55905.01901
139,1456077942,1456077942,5720,13.77798009,57182.74008
140,1456077942,1456077942,5840,13.87816,58295.12086
141,1456077942,1456077942,5968,13.97846007,59501.45184
142,1456077942,1456077942,6096,14.07768989,61433.15037
143,1456077942,1456077942,6216,14.17792988,62011.17805
144,1456077942,1456077942,6344,14.27810001,63332.24936
145,1456077942,1456077942,6464,14.37823009,64556.02476
146,1456077942,1456077942,6592,14.47835994,65834.51865
147,1456077943,1456077943,6712,14.57848001,67039.50727
148,1456077943,1456077943,6824,14.67978001,67364.2638
149,1456077943,1456077943,6936,14.78341007,66930.38298
150,1456077943,1456077943,7048,14.88870001,66938.97122
