id, time (s), size (bits),,
0,1456077928,7048,0,0
1,1456077928,6936,0.100059986,69318.41857
2,1456077928,6824,0.199770212,68438.31641
3,1456077928,6704,0.299940109,66926.29418
4,1456077928,6584,0.40004015,65774.1992
5,1456077928,6464,0.500270128,64491.68296
6,1456077928,6344,0.600419998,63345.0648
7,1456077928,6216,0.699609995,62667.60969
8,1456077929,6088,0.799760103,60788.75102
9,1456077929,5968,0.89993,59578.7774
10,1456077929,5840,0.999960184,58382.37798
11,1456077929,5720,1.099930048,57217.24305
12,1456077929,5592,1.199950218,55908.72309
13,1456077929,5472,1.300070047,54654.50795
14,1456077929,5360,1.40031004,53471.67219
15,1456077929,5248,1.500530005,52364.81574
16,1456077929,5136,1.599920034,51675.20329
17,1456077929,5032,1.700070143,50244.5787
18,1456077930,4936,1.800100088,49345.22339
19,1456077930,4840,1.900269985,48317.90928
20,1456077930,4752,2.000380039,47467.75982
21,1456077930,4672,2.100440025,46691.99129
22,1456077930,4600,2.200489998,45977.02412
23,1456077930,4536,2.299580097,45776.52087
24,1456077930,4472,2.399770021,44635.22688
25,1456077930,4424,2.499790192,44231.0785
26,1456077930,4376,2.599850178,43733.76581
27,1456077930,4344,2.700030088,43361.98716
28,1456077931,4320,2.80019021,43130.93792
29,1456077931,4304,2.900430202,42936.95468
30,1456077931,4296,2.999530077,43350.20626
31,1456077931,4296,3.099670172,42899.89949
32,1456077931,4304,3.199750185,43005.58982
33,1456077931,4320,3.300090075,43053.6651
34,1456077931,4344,3.40026021,43366.21867
35,1456077931,4384,3.500430107,43765.64345
36,1456077931,4424,3.599460125,44673.32326
37,1456077931,4472,3.699660063,44630.76622
38,1456077932,4536,3.799810171,45292.01291
39,1456077932,4600,3.899910212,45954.02739
40,1456077932,4672,3.999980211,46687.31902
41,1456077932,4752,4.100220203,47406.22878
42,1456077932,4840,4.200450182,48288.94578
43,1456077932,4936,4.299530029,49818.40538
44,1456077932,5032,4.399650097,50259.65444
45,1456077932,5136,4.499840021,51262.63982
